name,album,album_id,artist,artist_id,id,popularity,duration_ms,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Tan Celoso,Tan Celoso,6Bltt9n59MuY4oz6KLCAie,Chimbala,4VVEpEhC8NcR7AqNEds42U,4oylgGWwjMKLSg70fGipb5,0.0,166948.0,0.0619,0.728,1.0,0.0516,1.0,0.845,-2.656,0.223,0.00501,0.874,125.086
Marianela,Marianela,528PgIXYcUZR2GE06Yl6yc,Lirico En La Casa,1Vr7DTbtTpOp4tn4hAGOYo,5AaHjij4q5xMPhOYoanpMP,34.0,186723.0,0.0579,0.793,1.0,0.0615,8.0,0.831,-6.944,0.214,0.0219,0.761,117.009
La Peluca,La Peluca,1D43ULFZCdSyHi7FrSzzAl,Liro Shaq,3oOJYwLB8FGSKYOQ5zx7Kk,2oNcK0pFV5jjtMVs6EJnCw,16.0,178546.0,0.0585,0.841,1.0,0.0697,10.0,0.916,-3.324,0.0999,0.000141,0.758,121.998
Flor de Lis,A Voz e o Violão,75BwBy0LF4uPuViycU0Agf,Djavan,5rrmaoBXZ7Jcs4Qb77j0YA,1TX4h6MrIZ0K3r4OOG11WO,63.0,225266.0,0.0493,0.781,0.0,0.0622,2.0,0.549,-16.202,0.223,0.0,0.502,85.793
Como Nossos Pais,Elis Regina Em Falso Brilhante,1F57xqKnbpTQB2SPoovTGJ,Elis Regina,0yFvXd36g5sNKYDi0Kkvl8,4dIWbsYRqqTcLKf4bVU4kk,4.0,260493.0,0.102,0.574,1.0,0.288,2.0,0.51,-11.296,0.418,0.0,0.401,143.942
Comportamento Geral,Comportamento Geral,2ib5w9jcfV7rMAlSaOH9L7,Ney Matogrosso,2SFIMUkCdZowbeisskDdhn,43vOrjFnTEPs4hlj5UbJsM,47.0,196108.0,0.0522,0.613,1.0,0.221,7.0,0.82,-10.147,0.581,0.0,0.479,124.084
Dia Branco - Ao Vivo | Bonus Track,Solo Contigo (ao Vivo) - Deluxe Edition,5hJLWVGCXTXdZb6kvC4Cgh,Geraldo Azevedo,65TbyndeGrDlFd4IkZNfbN,1E3W3Gtvm6ayy7fAtaPGQV,52.0,241112.0,0.0322,0.397,1.0,0.934,2.0,0.453,-12.079,0.918,0.000749,0.306,145.733
Devolva-Me (Ao Vivo),Público,5rZSelFMehsRmVV0wBlqTR,Adriana Calcanhotto,72f733zGuCPEzCSLs9wOVi,5sz2LrG6jY6u7U0g2k7kws,62.0,131426.0,0.0292,0.183,1.0,0.605,10.0,0.453,-10.907,0.554,0.0,0.284,98.974
Relicário - Ao Vivo,Acústico (Ao Vivo),7mgNhvsT5RpvIoq8q2DHFI,Cássia Eller,10naVTwNjE50daQVrN0bXh,6HhXiy5XZ81Pyv3yCZMtj1,68.0,246492.0,0.036,0.398,1.0,0.186,2.0,0.3,-6.567,0.53,0.0,0.7,165.642
Reconvexo - Ao Vivo,Ofertório (Ao Vivo),3PlAbFQa9MEymxTgQC51wv,Caetano Veloso,7HGNYPmbDrMkylWqeFCOIQ,1yiQ58cQrQH2xLF2AuvFq2,60.0,200045.0,0.177,0.703,1.0,0.938,2.0,0.512,-11.295,0.811,6.27e-05,0.573,177.849
